"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"132","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",132,"NRAS",-3.61320368801086,-1.17995998873311,-2.35772773203364
"133","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",133,"HRAS",-1.68240840457862,1.89657900808849,0.314981082067647
"134","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",134,"HRAS",-1.73958963948941,1.49368619863178,0.152786032753222
"135","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",135,"HRAS",-2.67754417850157,0.520163469252631,-0.933810229982159
"136","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",136,"ARAF",-3.61230623367899,-1.20027615157202,-2.33162394458529
"137","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",137,"ARAF",-0.909617358507029,2.68770120932182,1.25043128444563
"138","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",138,"ARAF",-3.17618270246569,-0.859672930982369,-1.96176710882087
"139","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",139,"BRAF",-3.40325676323405,-0.852672277160702,-2.07803498206002
"140","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",140,"BRAF",-3.71184377952992,-1.31142914810496,-2.4113215988377
"141","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",141,"BRAF",-2.92962046941795,0.100971047358775,-1.36965924208638
"142","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",142,"RAF1",-3.38832004977641,-0.891142312123817,-2.10058346178096
"143","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",143,"RAF1",-3.44577811395794,-1.26205617739657,-2.27993300676121
"144","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",144,"RAF1",-0.537907175340174,2.30216441010875,1.07233915570374
"145","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",145,"TGFBR1",-3.27464404924844,-0.189246174704888,-1.69084007461169
"146","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",146,"TGFBR1",-3.70026664102682,-1.37167688302035,-2.47056751801679
"147","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",147,"TGFBR1",-3.77307141376561,-1.32049690262352,-2.47272426857557
